	dataset	type	representation	ridge_cv10_acc	ridge_cv10_f1ma	ridge_cv10_f1mi
0	swda_mfs_20w	iso	LDA_dim=12	0.5332	0.1834	0.5332
1	swda_mfs_20w	iso	LSA_dim=6	0.5107	0.1455	0.5107
2	swda_mfs_20w	iso	GLOVE-TWITTER-25_dim=6	0.5162	0.1829	0.5162
3	swda_mfs_20w	iso	LDA_dim=25	0.5682	0.2431	0.5682
4	swda_mfs_20w	iso	AE_dim=12	0.5446	0.1933	0.5446
5	swda_mfs_20w	iso	LSA_dim=12	0.5194	0.1805	0.5194
6	swda_mfs_20w	iso	AE_dim=25	0.5243	0.1883	0.5243
7	swda_mfs_20w	iso	LSA_dim=25	0.5202	0.1791	0.5202
8	swda_mfs_20w	iso	AE_dim=6	0.5388	0.1844	0.5388
9	swda_mfs_20w	iso	GLOVE-TWITTER-25_dim=12	0.5282	0.1959	0.5282
10	swda_mfs_20w	iso	LDA_dim=6	0.511	0.1623	0.511
11	swda_mfs_20w	iso	GLOVE-TWITTER-25_dim=25	0.5729	0.2234	0.5729
12	swda_mfs_20w	iso	RAND8_dim=6	0.3652	0.0994	0.3652
13	swda_mfs_20w	iso	RAND8_dim=12	0.4699	0.1689	0.4699
14	swda_mfs_20w	iso	RAND8_dim=25	0.4846	0.1711	0.4846
15	swda_mfs_20w	con	AE_dim=6_context=2	0.5163	0.1613	0.5163
16	swda_mfs_20w	con	AE_dim=25_context=1	0.5318	0.1903	0.5318
17	swda_mfs_20w	con	GLOVE-TWITTER-25_dim=25_context=1	0.5724	0.2282	0.5724
18	swda_mfs_20w	con	GLOVE-TWITTER-25_dim=12_context=2	0.5255	0.1952	0.5255
19	swda_mfs_20w	con	AE_dim=12_context=2	0.5234	0.1675	0.5234
20	swda_mfs_20w	con	RAND8_dim=6_context=1	0.4155	0.12	0.4155
21	swda_mfs_20w	con	LSA_dim=6_context=2	0.5058	0.1437	0.5058
22	swda_mfs_20w	con	LSA_dim=25_context=2	0.5212	0.1731	0.5212
23	swda_mfs_20w	con	GLOVE-TWITTER-25_dim=6_context=1	0.5037	0.176	0.5037
24	swda_mfs_20w	con	LSA_dim=12_context=1	0.5144	0.1625	0.5144
25	swda_mfs_20w	con	LDA_dim=6_context=1	0.5116	0.1513	0.5116
26	swda_mfs_20w	con	LDA_dim=25_context=1	0.5636	0.2095	0.5636
27	swda_mfs_20w	con	LDA_dim=12_context=2	0.5273	0.17	0.5273
28	swda_mfs_20w	con	SG_dim=6_context=2	0.3966	0.1329	0.3966
29	swda_mfs_20w	con	RAND8_dim=12_context=1	0.4717	0.1616	0.4717
30	swda_mfs_20w	con	SG_dim=25_context=1	0.5521	0.2067	0.5521
31	swda_mfs_20w	con	RAND8_dim=25_context=2	0.4759	0.1623	0.4759
32	swda_mfs_20w	con	SG_dim=12_context=2	0.5238	0.1912	0.5238
33	swda_mfs_20w	con	GLOVE-TWITTER-25_dim=12_context=1	0.526	0.1959	0.526
34	swda_mfs_20w	con	AE_dim=12_context=1	0.5389	0.1859	0.5389
35	swda_mfs_20w	con	RAND8_dim=6_context=2	0.4183	0.1205	0.4183
36	swda_mfs_20w	con	AE_dim=6_context=1	0.5227	0.1675	0.5227
37	swda_mfs_20w	con	AE_dim=25_context=2	0.5257	0.1864	0.5257
38	swda_mfs_20w	con	GLOVE-TWITTER-25_dim=25_context=2	0.5652	0.2224	0.5652
39	swda_mfs_20w	con	LSA_dim=6_context=1	0.5062	0.1441	0.5062
40	swda_mfs_20w	con	LSA_dim=12_context=2	0.5104	0.1485	0.5104
41	swda_mfs_20w	con	GLOVE-TWITTER-25_dim=6_context=2	0.5014	0.1541	0.5014
42	swda_mfs_20w	con	LSA_dim=25_context=1	0.5211	0.1728	0.5211
43	swda_mfs_20w	con	LDA_dim=12_context=1	0.5299	0.1758	0.5299
44	swda_mfs_20w	con	LDA_dim=6_context=2	0.5105	0.1496	0.5105
45	swda_mfs_20w	con	LDA_dim=25_context=2	0.5613	0.2046	0.5613
46	swda_mfs_20w	con	SG_dim=6_context=1	0.5113	0.1819	0.5113
47	swda_mfs_20w	con	RAND8_dim=25_context=1	0.4769	0.1649	0.4769
48	swda_mfs_20w	con	SG_dim=12_context=1	0.5333	0.1943	0.5333
49	swda_mfs_20w	con	RAND8_dim=12_context=2	0.4647	0.1521	0.4647
50	swda_mfs_20w	con	SG_dim=25_context=2	0.5754	0.2271	0.5754
